info: cargo-llvm-cov currently setting cfg(coverage); you can opt-out it by passing --no-cfg-coverage
   Compiling openlark-core v0.15.0-dev (/Users/zool/workspace/open-lark/crates/openlark-core)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 3.25s
     Running unittests src/lib.rs (target/llvm-cov-target/debug/deps/openlark_core-c021894dc2eb6f39)

running 476 tests
test api::responses::tests::test_response_format_binary ... ok
test api::responses::tests::test_response_format ... ok
test api::responses::tests::test_response_format_default ... ok
test api::responses::tests::test_error_info_creation ... ok
test api::responses::tests::test_raw_response_error ... ok
test api::responses::tests::test_raw_response_default ... ok
test api::responses::tests::test_raw_response_success ... ok
test api::responses::tests::test_raw_response_get_error ... ok
test api::tests::test_all_http_methods ... ok
test api::tests::test_patch_method ... ok
test api::responses::tests::test_raw_response_success_with_data ... ok
test api::responses::tests::test_raw_response_serialization ... ok
test auth::token::tests::test_time_until_expiry ... ok
test auth::token::tests::test_expired_token_time_until_expiry ... ok
test auth::cache::tests::test_cache_entry_creation ... ok
test auth::token::tests::test_token_info_creation ... ok
test auth::refresh::tests::test_token_refresher_creation ... ok
test auth::refresh::tests::test_should_refresh_logic ... ok
test auth::token::tests::test_token_info_default ... ok
test auth::token::tests::test_token_info_expiry ... ok
test auth::token::tests::test_token_info_is_expiring_soon ... ok
test auth::token::tests::test_token_info_update_access ... ok
test auth::cache::tests::test_memory_cache_clear ... ok
test auth::cache::tests::test_cache_validation ... ok
test auth::token::tests::test_token_refresh_config_default ... ok
test auth::token::tests::test_token_type_display ... ok
test auth::token::tests::test_token_type_prefix ... ok
test auth::cache::tests::test_memory_cache_basic_operations ... ok
test auth::token::tests::test_token_validation_result ... ok
test auth::cache::tests::test_memory_cache_remove ... ok
test auth::cache::tests::test_token_storage_trait ... ok
test auth::cache::tests::test_memory_cache_expiry ... ok
test auth::token_provider::tests::test_no_op_token_provider_debug ... ok
test auth::token_provider::tests::test_token_request_app ... ok
test auth::token_provider::tests::test_no_op_token_provider_returns_error ... ok
test auth::token_provider::tests::test_token_request_debug ... ok
test auth::token_provider::tests::test_token_request_default ... ok
test auth::token_provider::tests::test_token_request_tenant ... ok
test auth::token_provider::tests::test_token_request_user ... ok
test auth::token_provider::tests::test_token_request_with_app_ticket ... ok
