名称,请求方式,地址,说明,支持自建应用,支持商店应用,文档链接
获取事件出口 IP,GET,/open-apis/event/v1/outbound_ip,飞书开放平台向应用配置的回调地址推送事件时，是通过特定的 IP 发送出去的，应用可以通过本接口获取所有相关的 IP 地址。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uYDNxYjL2QTM24iN0EjN/event-v1/outbound_ip/list
获取用户信息,GET,/open-apis/authen/v1/user_info,通过 `user_access_token` 获取登录用户的信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/authen-v1/user_info/get
批量获取脱敏的用户登录信息,POST,/open-apis/passport/v1/sessions/query,该接口用于查询用户的登录信息。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/passport-v1/session/query
退出登录,POST,/open-apis/passport/v1/sessions/logout,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/passport-v1/session/logout
自建应用获取 tenant_access_token,POST,/open-apis/auth/v3/tenant_access_token/internal,企业自建应用通过此接口获取 tenant_access_token，调用接口获取企业资源时，需要使用 tenant_access_token 作为授权凭证。,是,否,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/tenant_access_token_internal
自建应用获取 app_access_token,POST,/open-apis/auth/v3/app_access_token/internal,企业自建应用通过此接口获取 app_access_token，调用接口获取应用资源时，需要使用 app_access_token 作为授权凭证。,是,否,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/app_access_token_internal
重新获取 app_ticket,POST,/open-apis/auth/v3/app_ticket/resend,飞书每隔 1 小时会给应用推送一次最新的 app_ticket，应用也可以主动调用此接口，触发飞书进行及时的重新推送。（该接口并不能直接获取app_ticket，而是触发事件推送）,否,是,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/app_ticket_resend
商店应用获取 app_access_token,POST,/open-apis/auth/v3/app_access_token,应用商店应用通过此接口获取 app_access_token，调用接口获取应用资源时，需要使用 app_access_token 作为授权凭证。,否,是,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/app_access_token
商店应用获取 tenant_access_token,POST,/open-apis/auth/v3/tenant_access_token,应用商店应用通过此接口获取 tenant_access_token，调用接口获取企业资源时，需要使用 tenant_access_token 作为授权凭证。,否,是,https://open.feishu.cn/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/tenant_access_token
获取通讯录授权范围,GET,/open-apis/contact/v3/scopes,该接口用于获取应用被授权可访问的通讯录范围，包括可访问的部门列表、用户列表和用户组列表。 授权范围为全员时，返回的部门列表为该企业所有的一级部门；否则返回的部门为管理员在设置授权范围时勾选的部门（不包含勾选部门的子部门）。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/scope/list
创建用户,POST,/open-apis/contact/v3/users,使用该接口向通讯录创建一个用户，可以理解为员工入职。创建用户后只返回有数据权限的数据。具体的数据权限的与字段的对应关系请参照[应用权限](/ssl:ttdoc/ukTMukTMukTM/uQjN3QjL0YzN04CN2cDN)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/create
修改用户部分信息,PATCH,/open-apis/contact/v3/users/:user_id,该接口用于更新通讯录中用户的字段，未传递的参数不会更新。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/patch
更新用户 ID,PATCH,/open-apis/contact/v3/users/:user_id/update_user_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/update_user_id
获取单个用户信息,GET,/open-apis/contact/v3/users/:user_id,该接口用于获取通讯录中单个用户的信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/get
批量获取用户信息,GET,/open-apis/contact/v3/users/batch,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/batch
获取部门直属用户列表,GET,/open-apis/contact/v3/users/find_by_department,基于部门ID获取部门直属用户列表。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/find_by_department
通过手机号或邮箱获取用户 ID,POST,/open-apis/contact/v3/users/batch_get_id,通过该接口，可使用手机号/邮箱获取用户的 ID 信息，具体获取支持的 ID 类型包括 open_id、user_id、union_id，可通过查询参数指定。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/batch_get_id
搜索用户,GET,/open-apis/search/v1/user,以用户身份搜索其他用户的信息，无法搜索到外部企业或已离职的用户。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uMTM4UjLzEDO14yMxgTN
删除用户,DELETE,/open-apis/contact/v3/users/:user_id,该接口用于从通讯录删除一个用户信息，可以理解为员工离职。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/delete
恢复已删除用户,POST,/open-apis/contact/v3/users/:user_id/resurrect,该接口用于恢复已删除用户（已离职的成员），仅自建应用可申请，应用商店应用无权调用接口。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/user/resurrect
创建用户组,POST,/open-apis/contact/v3/group,使用该接口创建用户组，请注意创建用户组时应用的通讯录权限范围需为“全部员工”，否则会创建失败，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/create
更新用户组,PATCH,/open-apis/contact/v3/group/:group_id,使用该接口更新用户组信息，请注意更新用户组时应用的通讯录权限范围需为“全部员工”，否则会更新失败。[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/patch
查询指定用户组,GET,/open-apis/contact/v3/group/:group_id,根据用户组 ID 查询某个用户组的基本信息，支持查询普通用户组和动态用户组。请确保应用的通讯录权限范围里包括该用户组或者是“全部员工”，[点击了解通讯录权限范围](/ssl:ttdoc/ukTMukTMukTM/uETNz4SM1MjLxUzM/v3/guides/scope_authority)。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/contact-v3/group/get
